gfid,state,district,village,lon,lat,wheat
54104,Haryana ,Karnal ,Kaimla,77.004807,29.495359,1
54105,Haryana ,Karnal ,Kaimla,77.005173,29.495951,1
54106,Haryana ,Karnal ,Kaimla,77.004204,29.49548,1
54107,Haryana ,Karnal ,Lalani,76.921341,29.77943,0
54108,Haryana ,Karnal ,Kaimla,77.003952,29.495979,1
54109,Haryana ,Karnal ,Shekhanpur,76.917068,29.77615,1
54110,Haryana ,Karnal ,Shekhanpur,76.919373,29.780029,0
54111,Haryana ,Karnal ,Shekhanpur,76.917107,29.77676,1
54112,Haryana ,Karnal ,Shekhanpur,76.913719,29.775721,1
54113,Haryana ,Karnal ,Shekhanpur,76.912903,29.77574,1
54114,Haryana ,Karnal ,Shekhanpur,76.913612,29.77632,0
54115,Haryana ,Karnal ,Jaisinghpura,76.6558,29.53059,1
54116,Haryana ,Karnal ,Shekhanpur,76.907387,29.77597,0
54117,Haryana ,Karnal ,Jaisinghpura,76.655098,29.531839,0
54118,Haryana ,Karnal ,Shekhanpur,76.906754,29.77523,1
54119,Haryana ,Karnal ,Shekhanpur,76.907288,29.775709,0
54120,Haryana ,Karnal ,Jaisinghpura,76.655121,29.53336,1
54121,Haryana ,Karnal ,Harisingh Pura,77.009209,29.4888,0
54122,Haryana ,Karnal ,Harisingh Pura,77.009148,29.48938,0
54123,Haryana ,Karnal ,Harisingh Pura,77.008629,29.48941,0
54124,Haryana ,Karnal ,Jaisinghpura,76.656441,29.531679,0
54125,Haryana ,Karnal ,Narayana,76.879623,29.76322,1
54126,Haryana ,Karnal ,Harisingh Pura,77.00856,29.48777,1
54127,Haryana ,Karnal ,Jaisinghpura,76.654411,29.530069,1
54128,Haryana ,Karnal ,Harisingh Pura,77.007759,29.487261,1
54129,Haryana ,Karnal ,Harisingh Pura,77.00811,29.486691,1
54130,Haryana ,Karnal ,Harisingh Pura,77.007828,29.48559,1
54131,Haryana ,Karnal ,Jaisinghpura,76.653214,29.531441,0
54132,Haryana ,Karnal ,Assendh,76.614754,29.514259,1
54133,Haryana ,Karnal ,Narayana,76.885292,29.760321,0
54134,Haryana ,Karnal ,Alipur Khalsha,76.992508,29.48575,0
54135,Haryana ,Karnal ,Assendh,76.618759,29.50919,0
54136,Haryana ,Karnal ,Alipur Khalsha,76.992638,29.48522,0
54137,Haryana ,Karnal ,Assendh,76.619469,29.50864,1
54138,Haryana ,Karnal ,Assendh,76.620758,29.509729,0
54139,Haryana ,Karnal ,Alipur Khalsha,76.992393,29.484289,0
54140,Haryana ,Karnal ,Kurak,76.897171,29.76277,1
54141,Haryana ,Karnal ,Alipur Khalsha,77.003799,29.492701,1
54142,Haryana ,Karnal ,Rukanpur,76.93808,29.743361,1
54143,Haryana ,Karnal ,Rukanpur,76.938057,29.73974,0
54144,Haryana ,Karnal ,Uchana,76.953072,29.744789,0
54145,Haryana ,Karnal ,Uchana,76.957451,29.74416,1
54146,Haryana ,Karnal ,Uchana,76.968086,29.74404,1
54147,Haryana ,Karnal ,Maanpura,76.753403,29.53606,0
54148,Haryana ,Karnal ,Maanpura,76.76017,29.534189,0
54149,Haryana ,Karnal ,Maanpura,76.757217,29.534241,1
54150,Haryana ,Karnal ,Maanpura,76.757408,29.533701,1
54151,Haryana ,Karnal ,Maanpura,76.758926,29.534349,1
54152,Haryana ,Karnal ,Ballha,76.779732,29.521111,0
54153,Haryana ,Karnal ,Ballha,76.799438,29.51259,0
54154,Haryana ,Karnal ,Ballha,76.799477,29.51218,1
54155,Haryana ,Karnal ,Kurali,76.984062,29.76416,1
54156,Haryana ,Karnal ,Munak,76.810638,29.51856,0
54157,Haryana ,Karnal ,Kurali,76.994102,29.761009,1
54158,Haryana ,Karnal ,Munak,76.811142,29.51977,0
54159,Haryana ,Karnal ,Munak,76.810768,29.5198,0
54160,Haryana ,Karnal ,Kurali,76.997787,29.76218,0
54161,Haryana ,Karnal ,Darar,77.000771,29.763479,0
54162,Haryana ,Karnal ,Darar,77.01458,29.765169,1
54163,Haryana ,Karnal ,Munak,76.812202,29.519199,1
54164,Haryana ,Karnal ,Mumak,76.813431,29.518511,1
54165,Haryana ,Karnal ,Darar,77.025726,29.76498,1
54166,Haryana ,Karnal ,Darar,77.019737,29.772091,0
54167,Haryana ,Karnal ,Aripura,76.988647,29.535561,1
54168,Haryana ,Karnal ,Aripura,76.98867,29.53595,0
54169,Haryana ,Karnal ,Songha,77.018257,29.787479,0
54170,Haryana ,Karnal ,Salwan,76.720993,29.54233,1
54171,Haryana ,Karnal ,Salwan,76.710129,29.52947,1
54172,Haryana ,Karnal ,Salwan,76.709641,29.528379,1
54173,Haryana ,Karnal ,Salwan,76.708328,29.525721,0
54174,Haryana ,Karnal ,Salwan,76.706673,29.52133,0
54175,Haryana ,Karnal ,Bastada,76.982986,29.559441,0
54176,Haryana ,Karnal ,Pidhana,76.683899,29.501921,0
54177,Haryana ,Karnal ,Bastada,76.981522,29.56057,1
54178,Haryana ,Karnal ,Pidhana,76.683197,29.50144,1
54179,Haryana ,Karnal ,Pidhana,76.681908,29.500509,1
54180,Haryana ,Karnal ,Bastada,76.985092,29.564819,1
54181,Haryana ,Karnal ,Bastada,76.986107,29.565041,1
54182,Haryana ,Karnal ,Deeg,76.645988,29.672331,1
54183,Haryana ,Karnal ,Bastada,76.985687,29.56595,1
54184,Haryana ,Karnal ,Deeg,76.645447,29.67223,0
54185,Haryana ,Karnal ,Deeg,76.638641,29.668449,0
54186,Haryana ,Karnal ,Uchanasamana,76.999786,29.6082,1
54187,Haryana ,Karnal ,Ucha Samana,77.000298,29.607599,1
54188,Haryana ,Karnal ,Padha,76.755013,29.55879,0
54189,Haryana ,Karnal ,Padha,76.758698,29.560369,1
54190,Haryana ,Karnal ,Padha,76.7584,29.561029,1
54191,Haryana ,Karnal ,Padha,76.761269,29.562389,1
54192,Haryana ,Karnal ,Bambradi,76.790154,29.569929,0
54193,Haryana ,Karnal ,Bambradi,76.791946,29.569941,0
54194,Haryana ,Karnal ,Bambradi,76.792389,29.56995,0
54195,Haryana ,Karnal ,Bambradi,76.794342,29.569269,1
54196,Haryana ,Karnal ,Bambradi,76.794281,29.56991,0
54197,Haryana ,Karnal ,Bambradi,76.793617,29.57036,1
54198,Haryana ,Karnal ,Bambradi,76.79335,29.571939,1
54199,Haryana ,Karnal ,Pakka Khera,76.790939,29.583191,0
54200,Haryana ,Karnal ,Pakka Khera,76.791489,29.583771,0
54201,Haryana ,Karnal ,Pakka Khera,76.792961,29.584629,0
54202,Haryana ,Karnal ,Pakka Khera,76.794907,29.584579,1
54203,Haryana ,Karnal ,Pakka Khera,76.795502,29.585159,1
54204,Haryana ,Karnal ,Pakka Khera,76.79567,29.584579,1
54205,Haryana ,Karnal ,Pakka Khera,76.79644,29.58457,1
54206,Haryana ,Karnal ,Landora,77.066422,29.78248,1
54207,Haryana ,Karnal ,Landora,77.044647,29.81208,0
54208,Haryana ,Karnal ,Landors,77.069389,29.78241,1
54209,Haryana ,Karnal ,Landora,77.079529,29.78404,1
54210,Haryana ,Karnal ,Gheer,77.100052,29.783421,0
54211,Haryana ,Karnal ,Nissing,76.757767,29.68228,0
54212,Haryana ,Karnal ,Nissing,76.758308,29.682659,1
54213,Haryana ,Karnal ,Nissing,76.756981,29.68198,0
54214,Haryana ,Karnal ,Nissnig,76.758347,29.68186,1
54215,Haryana ,Karnal ,Gheer,77.09861,29.786261,1
54216,Haryana ,Karnal ,Nissnig,76.757011,29.682409,1
54217,Haryana ,Karnal ,Nissing,76.759537,29.681351,0
54218,Haryana ,Karnal ,Bara Gaon,77.076393,29.76379,1
54219,Haryana ,Karnal ,Gomder,76.76387,29.67264,1
54220,Haryana ,Karnal ,Gomder,76.76355,29.67346,1
54221,Haryana ,Karnal ,Gomder,76.762306,29.672569,1
54222,Haryana ,Karnal ,Bara Gaon,77.063347,29.749861,1
54223,Haryana ,Karnal ,Gomder,76.763107,29.67219,1
54224,Haryana ,Karnal ,Gonder,76.763512,29.67132,0
54225,Haryana ,Karnal ,Newal,77.061249,29.74402,0
54226,Haryana ,Karnal ,Gulrpur,76.768387,29.657801,1
54227,Haryana ,Karnal ,Gulrpur,76.7677,29.65793,1
54228,Haryana ,Karnal ,Gulrpur,76.769859,29.658291,0
54229,Haryana ,Karnal ,Gulrpur,76.770401,29.657681,0
54230,Haryana ,Karnal ,Gulrpur,76.770973,29.65724,0
54231,Haryana ,Karnal ,Aongend,76.770576,29.65889,0
54232,Haryana ,Karnal ,Aongend,76.771713,29.6567,0
54233,Haryana ,Karnal ,Aogend,76.77169,29.658991,0
54234,Haryana ,Karnal ,Aogend,76.772621,29.659349,1
54235,Haryana ,Karnal ,Aongend,76.772614,29.65535,1
54236,Haryana ,Karnal ,Aogend,76.774582,29.659269,1
54237,Haryana ,Karnal ,Aongend,76.773048,29.654791,1
54238,Haryana ,Karnal ,Kunjpura,77.070549,29.72089,1
54239,Haryana ,Karnal ,Dacher,76.738617,29.653391,1
54240,Haryana ,Karnal ,Dacher,76.737137,29.653851,1
54241,Haryana ,Karnal ,Subri,77.064949,29.712339,0
54242,Haryana ,Karnal ,Dacher,76.737839,29.65321,1
54243,Haryana ,Karnal ,Dacher,76.737137,29.652849,1
54244,Haryana ,Karnal ,Dacher,76.739258,29.65379,0
54245,Haryana ,Karnal ,Poyat,76.731621,29.65358,1
54246,Haryana ,Karnal ,Poyat,76.731819,29.6544,1
54247,Haryana ,Karnal ,Poyat,76.731148,29.654341,0
54248,Haryana ,Karnal ,Subri,77.056152,29.694389,1
54249,Haryana ,Karnal ,Poyat,76.732162,29.654449,1
54250,Haryana ,Karnal ,Poyat,76.731163,29.6546,0
54251,Haryana ,Karnal ,Poyat,76.732483,29.654461,0
54252,Haryana ,Karnal ,Poyat,76.733017,29.654449,1
54253,Haryana ,Karnal ,Poyat,76.732353,29.65387,1
54254,Haryana ,Karnal ,Chorkarsa,76.741898,29.647739,1
54255,Haryana ,Karnal ,Kalwaheri,77.045982,29.70043,1
54256,Haryana ,Karnal ,Chorkarsa,76.742599,29.648081,1
54257,Haryana ,Karnal ,Chorkarsa,76.742531,29.64864,0
54258,Haryana ,Karnal ,Chorkarsa,76.741959,29.64892,1
54259,Haryana ,Karnal ,Kalwaheri,77.039291,29.709021,1
54260,Haryana ,Karnal ,Chorkarsa,76.742561,29.648939,1
54261,Haryana ,Karnal ,Kalwaheri,77.037971,29.71002,0
54262,Haryana ,Karnal ,Kalwaheri,77.036591,29.71114,0
54263,Haryana ,Karnal ,Sambli,76.74778,29.66674,1
54264,Haryana ,Karnal ,Sambli,76.747101,29.667311,1
54265,Haryana ,Karnal ,Sambli,76.7472,29.66781,1
54266,Haryana ,Karnal ,Sambli,76.748657,29.66765,0
54267,Haryana ,Karnal ,Barshi,76.748062,29.667669,0
54268,Haryana ,Karnal ,Bambradi,76.794563,29.568239,1
