gfid,state,district,village,lon,lat,wheat
52085,Haryana ,Kaithal ,Kakhedhi,76.369347,29.9673,1
52086,Haryana ,Kaithal ,Kakedhi,76.36998,29.968121,1
52087,Haryana ,Kaithal ,Badnara,76.690079,29.68644,1
52088,Haryana ,Kaithal ,Badnara,76.689873,29.685801,1
52089,Haryana ,Kaithal ,Samplikhedi,76.455849,29.81086,1
52090,Haryana ,Kaithal ,Kalualigamdi,76.40255,29.835039,0
52091,Haryana ,Kaithal ,Kalualigamdi,76.40329,29.834629,0
52092,Haryana ,Kaithal ,Samplikhedi,76.456367,29.81089,1
52093,Haryana ,Kaithal ,Samplikhedi,76.456497,29.81007,1
52094,Haryana ,Kaithal ,Sirta,76.366074,29.84812,1
52095,Haryana ,Kaithal ,Sirta,76.366661,29.848921,1
52096,Haryana ,Kaithal ,Badnara,76.692886,29.686569,0
52097,Haryana ,Kaithal ,Sisrta,76.365837,29.84897,0
52098,Haryana ,Kaithal ,Sisrta,76.365303,29.84902,0
52099,Haryana ,Kaithal ,Samplikhedi,76.458519,29.8097,0
52100,Haryana ,Kaithal ,Khanpur,76.372902,29.849581,1
52101,Haryana ,Kaithal ,Khanpur,76.37323,29.84934,0
52102,Haryana ,Kaithal ,Khanpur,76.374161,29.849739,0
52103,Haryana ,Kaithal ,Pyoda,76.46122,29.814341,1
52104,Haryana ,Kaithal ,Gobindpura,76.366112,29.8599,1
52105,Haryana ,Kaithal ,Pyoda,76.463364,29.813841,1
52106,Haryana ,Kaithal ,Gobndpura,76.366814,29.858721,0
52107,Haryana ,Kaithal ,Pyoda,76.46254,29.81473,0
52108,Haryana ,Kaithal ,Pyoda,76.4627,29.815651,0
52109,Haryana ,Kaithal ,Dheratarasingh,76.373772,29.864679,0
52110,Haryana ,Kaithal ,Dheratarasingh,76.373779,29.86418,0
52111,Haryana ,Kaithal ,Dharatarasing,76.374458,29.864149,0
52112,Haryana ,Kaithal ,Dheratarasingh,76.373779,29.86363,1
52113,Haryana ,Kaithal ,Harsiola,76.472137,29.80934,1
52114,Haryana ,Kaithal ,Siga,76.461021,29.79269,0
52115,Haryana ,Kaithal ,Harsola,76.471611,29.80847,1
52116,Haryana ,Kaithal ,Dheratarasingh,76.375153,29.864201,1
52117,Haryana ,Kaithal ,Daragadla,76.382561,29.853649,0
52118,Haryana ,Kaithal ,Daragadla,76.382858,29.854271,0
52119,Haryana ,Kaithal ,Dheragadla,76.382942,29.85483,1
52120,Haryana ,Kaithal ,Dheragadla,76.384521,29.855009,1
52121,Haryana ,Kaithal ,Khurana,76.406303,29.867109,1
52122,Haryana ,Kaithal ,Khurana,76.407089,29.86717,1
52123,Haryana ,Kaithal ,Harsola,76.461143,29.78624,0
52124,Haryana ,Kaithal ,Devra,76.407799,29.87425,0
52125,Haryana ,Kaithal ,Harsolya,76.461342,29.785589,0
52126,Haryana ,Kaithal ,Deohra,76.407967,29.873699,1
52127,Haryana ,Kaithal ,Harsola,76.462288,29.785589,0
52128,Haryana ,Kaithal ,Deohra,76.407288,29.873711,0
52129,Haryana ,Kaithal ,Deohra,76.407471,29.87315,1
52130,Haryana ,Kaithal ,Titaram,76.466362,29.773041,1
52131,Haryana ,Kaithal ,Dohr,76.408127,29.88751,1
52132,Haryana ,Kaithal ,Titaram,76.467033,29.7731,1
52133,Haryana ,Kaithal ,Dhor,76.407799,29.8867,0
52134,Haryana ,Kaithal ,Titaram,76.467682,29.7724,1
52135,Haryana ,Kaithal ,Dohr,76.407433,29.88759,1
52136,Haryana ,Kaithal ,Dohr,76.407249,29.88673,1
52137,Haryana ,Kaithal ,Titaram,76.466949,29.77203,1
52138,Haryana ,Kaithal ,Malikpur,76.402229,29.88809,0
52139,Haryana ,Kaithal ,Titram,76.467491,29.773001,0
52140,Haryana ,Kaithal ,Malikpur,76.402046,29.88847,1
52141,Haryana ,Kaithal ,Malikpur,76.401772,29.887751,1
52142,Haryana ,Kaithal ,Malikpur,76.403412,29.887791,1
52143,Haryana ,Kaithal ,Titaram,76.468437,29.77302,0
52144,Haryana ,Kaithal ,Firojpur,76.376778,29.890949,1
52145,Haryana ,Kaithal ,Firojpur,76.37648,29.88982,1
52146,Haryana ,Kaithal ,Dyodkhedi,76.470482,29.77075,0
52147,Haryana ,Kaithal ,Deyodkhedi,76.47084,29.77076,1
52148,Haryana ,Kaithal ,Firojpur,76.37738,29.89089,1
52149,Haryana ,Kaithal ,Firojpur,76.377586,29.890169,1
52150,Haryana ,Kaithal ,Farjapur,76.376221,29.890711,0
52151,Haryana ,Kaithal ,Dyodkhedi,76.470459,29.771191,0
52152,Haryana ,Kaithal ,Deyokhedi,76.472397,29.77071,1
52153,Haryana ,Kaithal ,Titram,76.478783,29.7679,0
52154,Haryana ,Kaithal ,Siwan,76.361481,29.887541,1
52155,Haryana ,Kaithal ,Titram,76.471703,29.7707,0
52156,Haryana ,Kaithal ,Ahun,76.672272,29.7742,1
52157,Haryana ,Kaithal ,Ahun,76.673462,29.7735,1
52158,Haryana ,Kaithal ,Ahun,76.673508,29.77417,1
52159,Haryana ,Kaithal ,Sakra,76.686501,29.802851,0
52160,Haryana ,Kaithal ,Sakra Khedi,76.674187,29.81381,0
52161,Haryana ,Kaithal ,Sakra Khedi,76.673866,29.813869,0
52162,Haryana ,Kaithal ,Sakra Khedi,76.673477,29.813881,1
52163,Haryana ,Kaithal ,Sakra Khedi,76.672691,29.81385,1
52164,Haryana ,Kaithal ,Sakra Khedi,76.669418,29.81382,0
52165,Haryana ,Kaithal ,Sakra Khedi,76.669342,29.814501,0
52166,Haryana ,Kaithal ,Sangroli,76.668716,29.814529,1
52167,Haryana ,Kaithal ,Sangroli,76.637901,29.806641,1
52168,Haryana ,Kaithal ,Sanch,76.671638,29.73111,0
52169,Haryana ,Kaithal ,Dherdu,76.657768,29.81954,1
52170,Haryana ,Kaithal ,Dherdu,76.656898,29.82008,0
52171,Haryana ,Kaithal ,Dherdu,76.65638,29.821131,1
52172,Haryana ,Kaithal ,Dherdu,76.651512,29.82295,0
52173,Haryana ,Kaithal ,Dherdu,76.65152,29.82235,0
52174,Haryana ,Kaithal ,Kaul,76.652786,29.855511,0
52175,Haryana ,Kaithal ,Kaul,76.651939,29.85603,1
52176,Haryana ,Kaithal ,Kaul,76.649719,29.856489,0
52177,Haryana ,Kaithal ,Chandlana,76.636848,29.86635,1
52178,Haryana ,Kaithal ,Chandlana,76.637642,29.868179,1
52179,Haryana ,Kaithal ,Chandlana,76.636887,29.86861,1
52180,Haryana ,Kaithal ,Pabnawa,76.642593,29.878,1
52181,Haryana ,Kaithal ,Pabnawa,76.651001,29.88306,0
52182,Haryana ,Kaithal ,Pabnawa,76.657806,29.88698,0
52183,Haryana ,Kaithal ,Dhand,76.635727,29.883829,0
52184,Haryana ,Kaithal ,Dhand,76.632462,29.88307,1
52185,Haryana ,Kaithal ,Dhand,76.609016,29.867359,0
52186,Haryana ,Kaithal ,Pharal,76.608192,29.866791,1
52187,Haryana ,Kaithal ,Pharal,76.587387,29.843121,1
52188,Haryana ,Kaithal ,Pharal,76.579903,29.83012,0
52189,Haryana ,Kaithal ,Pharal,76.579353,29.82901,0
52190,Haryana ,Kaithal ,Pharal,76.579498,29.829571,1
52191,Haryana ,Kaithal ,Pharal,76.579277,29.828489,0
52192,Haryana ,Kaithal ,Jadula,76.670341,29.72695,1
